OUTPUT Filename,Site,Buoy Size,Total mass,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,% time submerged,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost
SF_buoyM_mass2045_wavesMax_currAve,SFOMF,Medium,2045,Max,Average,245,40,11326.1416,9809.580078,3058.363281,-3.23179843,0.281805089,1148.294,2571.03682,9508.294472,32,17600,22319.33082
SF_buoyM_mass2545_wavesMax_currAve,SFOMF,Medium,2545,Max,Average,245,40,11212.52148,9704.795898,3014.882568,-3.543115065,0.372539606,1148.294,2571.03682,9404.298073,31,17300,22019.33082
SF_buoyM_mass3545_wavesMax_currAve,SFOMF,Medium,3545,Max,Average,245,40,0,0,0,0,#DIV/0!,1148.294,2571.03682,0,0,0,4719.33082
SF_buoyM_mass4545_wavesMax_currAve,SFOMF,Medium,4545,Max,Average,245,40,0,0,0,0,#DIV/0!,1148.294,2571.03682,0,0,0,4719.33082
SF_buoyM_mass1645_wavesAve_currMax,SFOMF,Medium,1645,Average,Max,245,40,0,0,0,0,#DIV/0!,1148.294,2571.03682,0,0,0,4719.33082
SF_buoyM_mass2045_wavesAve_currMax,SFOMF,Medium,2045,Average,Max,245,40,4990.703613,4193.878906,1265.543579,0.412949146,0,1148.294,2571.03682,4055.630109,14,8200,12919.33082
SF_buoyM_mass2545_wavesAve_currMax,SFOMF,Medium,2545,Average,Max,245,40,0,0,0,0,#DIV/0!,1148.294,2571.03682,0,0,0,4719.33082
SF_buoyM_mass3545_wavesAve_currMax,SFOMF,Medium,3545,Average,Max,245,40,0,0,0,0,#DIV/0!,1148.294,2571.03682,0,0,0,4719.33082
SF_buoyM_mass4545_wavesAve_currMax,SFOMF,Medium,4545,Average,Max,245,40,0,0,0,0,#DIV/0!,1148.294,2571.03682,0,0,0,4719.33082
PW_buoyS_mass205_wavesMax_currAve,PacWave,Small,205,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyS_mass255_wavesMax_currAve,PacWave,Small,255,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyS_mass318_wavesMax_currAve,PacWave,Small,318,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyS_mass443_wavesMax_currAve,PacWave,Small,443,Max,Average,,,,,,,,0,240,,,0,1240
