OUTPUT Filename,Site,Buoy Size,Total mass,Payload,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost,Tether safety factor,Run 2
HU_buoyM_mass8900_RGwavesAve_currMax.dat,Hueneme,Medium,8900,4000,Average,Max,150,10,1718,938,897,0.7,$287,"$2,581",1046,1,$300,"$4,168",78.0,
HU_buoyM_mass11900_RGwavesAve_currMax.dat,Hueneme,Medium,11900,7000,Average,Max,150,10,2114,1251,1152,0.3,$287,"$2,581",1384,2,"$1,600","$5,468",63.3,
HU_buoyM_mass15900_RGwavesAve_currMax.dat,Hueneme,Medium,15900,11000,Average,Max,150,10,1042,480,331,0.0,$287,"$2,581",506,1,$300,"$4,168",128.5,
BE_buoyM_mass4900_RGwavesMax_currAve.dat,Bering,Medium,4900,0,Max,Average,66,10,2197,1543,1231,0.9,$287,"$1,782",1664,2,"$1,600","$4,669",60.9,
BE_buoyM_mass6900_RGwavesMax_currAve.dat,Bering,Medium,6900,2000,Max,Average,66,10,2873,2122,1621,0.7,$287,"$1,782",2272,3,"$1,900","$4,969",46.6,
BE_buoyM_mass8900_RGwavesMax_currAve.dat,Bering,Medium,8900,4000,Max,Average,66,10,3338,2547,1854,0.5,$287,"$1,782",2707,3,"$1,900","$4,969",40.1,
BE_buoyM_mass11900_RGwavesMax_currAve.dat,Bering,Medium,11900,7000,Max,Average,66,10,4072,3234,2184,0.2,$287,"$1,782",3399,4,"$2,200","$5,269",32.9,
BE_buoyM_mass15900_RGwavesMax_currAve.dat,Bering,Medium,15900,11000,Max,Average,66,10,5402,4512,2646,-1.9,$287,"$1,782",4652,6,"$3,800","$6,869",24.8,
BE_buoyM_mass4900_RGwavesAve_currMax.dat,Bering,Medium,4900,0,Average,Max,66,10,1040,717,458,1.0,$287,"$1,782",747,1,$300,"$3,369",128.8,
BE_buoyM_mass6900_RGwavesAve_currMax.dat,Bering,Medium,6900,2000,Average,Max,66,10,1318,934,649,0.8,$287,"$1,782",986,1,$300,"$3,369",101.6,
